muscle,coefficients
0,[20  2  5 27  6]
1,[16 21  0  8 14]
2,[ 8  2 13 17  0]
3,[13 16 12 27  2]
4,[ 1 10 15 28  5]
5,[ 7 20 12 24 27]
6,[ 4  3  2 20  8]
7,[29 28  4 16 19]
8,[ 6 15 16  8 25]
9,[ 6 27 11 19  9]
10,[14  9  3  1 18]
11,[10  3  5 15 23]
12,[27  1 11 16 20]
13,[ 3 21 24 27 22]
14,[23  7 25 22  3]
15,[ 5 15 22 21 20]
16,[ 5 11  2 24  0]
17,[23  8  1  6  0]
18,[21 11 15 17 20]
19,[13 15  5 10 17]
20,[ 8  6 16 24 19]
21,[22 23  5  8 28]
22,[ 9 18 28 15 17]
23,[ 3  5 10 20 28]
24,[20 24 13 26  6]
