muscle,coefficients
0,[17 21 10 19 14]
1,[18  2 16 29 14]
2,[25 24  1 27 29]
3,[18 28 11  9 25]
4,[14  3 24  5 17]
5,[13  3  8 15 17]
6,[28  3 16  1 22]
7,[24  6  7  9 20]
8,[11 16  6 19  5]
9,[17 13 23 12 26]
10,[20  5 15  4  8]
11,[ 0  1 10  2 29]
12,[19  8 13 22 12]
13,[ 8 22  5  6 17]
14,[26 17 20 15 19]
15,[21 16 10  9  7]
16,[18 13  3 22 20]
17,[ 1  9 29  6 26]
18,[ 9 22 24 20 12]
19,[12 20 21  8 15]
20,[ 3  1 18 16 22]
21,[ 0 20 14  4 29]
22,[13 19 24 27  3]
23,[ 9 27 17  3 24]
24,[ 8 12  4 16 18]
