muscle,coefficients
0,[ 7 23 15 29 27]
1,[ 3 17  8  5 23]
2,[25 22 16 17 14]
3,[27 23 24 12  8]
4,[23  4  9 28 22]
5,[15 24  8 21  4]
6,[10 11  2 25 18]
7,[ 5  1 14 16  2]
8,[27  7 10  0 23]
9,[16  2 24 17  6]
10,[17  3 26 22  9]
11,[ 8 26 20  5 22]
12,[15 29 13 21 14]
13,[21 24 27 16 18]
14,[23 25 15  0  8]
15,[ 6 29 21 19 17]
16,[ 5 22 24 25 18]
17,[27 12  1 23 24]
18,[11  8 27 23 13]
19,[ 2 21  5  9  0]
20,[19 11 15  0 20]
21,[ 8 10 23 28  0]
22,[ 1  0 25  5 12]
23,[ 2  4 17  3 15]
24,[ 8 14 29  0 27]
