muscle,coefficients
0,[ 5 19 11 21 16]
1,[23  4  6  0 28]
2,[15 17 16 20 22]
3,[21 29 28  8 26]
4,[ 5 11 13 10 14]
5,[ 9  8 14 28 11]
6,[14 19 26 11 24]
7,[ 8  7  4 24 17]
8,[15 26 14 27 24]
9,[ 3 15  8 12 22]
10,[25  7  9 17 12]
11,[13 16  4 25 17]
12,[ 5 18  3 23  9]
13,[ 7 16 18 14 11]
14,[29  1 10  6  7]
15,[23 16  0 15 26]
16,[26  4  7 27 21]
17,[ 9 13  1  5 24]
18,[13 21 17 11 24]
19,[14 20  9 17  1]
20,[23 28 10 17 18]
21,[27 29  5  2 21]
22,[ 0  2 24 27 20]
23,[18  1  5 21 19]
24,[14 19  0 17 25]
