muscle,coefficients
0,[20 13 25  1 26]
1,[20 21 26 16  9]
2,[ 4 15 21 14 18]
3,[ 9 25 12 18 26]
4,[ 7  0  9 22 15]
5,[20  7 24 27  1]
6,[ 5 26 23 27 19]
7,[13  5  8 21 12]
8,[ 6 13 22 27 28]
9,[20 21  5 11  7]
10,[ 3  6 14 20 21]
11,[18 22  1  3 27]
12,[ 2 24 10 21 25]
13,[ 9 20 17 21  1]
14,[12 17  0  5 27]
15,[11 17 13 16  3]
16,[25  3 16 26 13]
17,[ 7 14  3 16 20]
18,[ 4 10 23 22 18]
19,[ 0 13 19 23  5]
20,[ 9  0 21 27 23]
21,[ 3 15  1 18 24]
22,[11 10  0 18 23]
23,[ 4 29 24 21 23]
24,[15 27  3  9  1]
