muscle,coefficients
0,[11 26 12 29 15]
1,[18 27  7 24  3]
2,[ 8 19 24 18  1]
3,[18 28 25 19 17]
4,[11 13  3 29  4]
5,[22 10 17 25 13]
6,[26  3 22 17 24]
7,[ 4 28 11 24 12]
8,[ 0 20 22 17  7]
9,[13 22 26  4 24]
10,[29 15 12  1 16]
11,[16 27 25 26  4]
12,[ 1 12 29  0  6]
13,[ 9 27 10 21 23]
14,[ 5  8  7 21 17]
15,[29 14 24  3  7]
16,[23  2  6  5  3]
17,[ 8 15 26 20  1]
18,[13  2 14 28 27]
19,[16 26  6  5  1]
20,[11 29  5 10 19]
21,[13 22  7 29 17]
22,[ 3 21 26  0 11]
23,[17  9 13 26 21]
24,[10 25  5 15 17]
