muscle,coefficients
0,[18  5  1 22 23]
1,[ 0 25 28 26 22]
2,[17  4  6 25 10]
3,[21  7 17  9 11]
4,[ 9 18 22  5  8]
5,[17 29 14 25 24]
6,[ 7  9  2  3 10]
7,[28 10 26 20 14]
8,[26 25  4 14 12]
9,[20  6 15 27  5]
10,[ 6 16 21  5  0]
11,[19 21  3 10  7]
12,[23  1 14 17  3]
13,[24 18 25  3 22]
14,[28  8  5 19 21]
15,[14 25 22 12 27]
16,[16  4 29  5 14]
17,[ 9  6 10 28  2]
18,[ 3 13 21 19  8]
19,[23  8 10 16 18]
20,[10  5 13 19 22]
21,[28 17 18 12 23]
22,[ 4 25 18  6 16]
23,[25 13  7  8 27]
24,[ 5  1 10  7  3]
