muscle,coefficients
0,[ 7 25 17 27 12]
1,[20 24 26 13  8]
2,[ 1  6 25 12 26]
3,[25 10  4 20 12]
4,[11 16 14  9 19]
5,[12  9 14 20 19]
6,[28 20 10 14  0]
7,[21 24 22 28 18]
8,[27  9 20 29  4]
9,[27  7 12  6 21]
10,[ 5 16  4  6 28]
11,[16  0 27 20 24]
12,[10 17 28 25 22]
13,[21 12 15  5  6]
14,[16  6 12 13  1]
15,[20  8  2 28 22]
16,[26 27 24  3 11]
17,[13  5  0 26 22]
18,[ 5  4 21 12  0]
19,[12 15 29 18  0]
20,[28  0 21 29 13]
21,[ 9 18 21  2  1]
22,[ 2  4 25  5 22]
23,[ 3 16 11  0 15]
24,[27 22  8  1 16]
